EmployeeKey	ParentEmployeeKey	EmployeeNationalIDAlternateKey	ParentEmployeeNationalIDAlternateKey	FirstName	LastName	MiddleName	NameStyle	Title	HireDate	BirthDate	LoginID	EmailAddress	Phone	MaritalStatus	EmergencyContactName	EmergencyContactPhone	SalariedFlag	Gender	PayFrequency	BaseRate	VacationHours	SickLeaveHours	CurrentFlag	SalesPersonFlag	DepartmentName	Position
101	201	199546871	332349500	Scott	Gode	R	False	Production Technician - WC45	Friday, August 8, 2008	Wednesday, September 10, 1986	AW\scott-gode	scott-gode@adventureworks.com	391-555-0138	M	Scott Gode	391-555-0138	False	M	1	$10	86	63	True	False	Production	
102	89	830150469	750905084	Michael	Rothkugel	L	False	Production Technician - WC40	Sunday, August 10, 2008	Saturday, August 4, 1990	AW\michael-rothkugel	michael-rothkugel@adventureworks.com	454-555-0119	S	Michael Rothkugel	454-555-0119	False	M	1	$15	70	55	True	False	Production	
103	147	322160340	319472946	Lane	Sacksteder	M	False	Production Technician - WC20	Monday, August 11, 2008	Tuesday, April 23, 1974	AW\lane-sacksteder	lane-sacksteder@adventureworks.com	200-555-0117	M	Lane Sacksteder	200-555-0117	False	M	1	$14	11	25	True	False	Production	
104	16	827686041	233069302	Pete	Male	C	False	Production Technician - WC50	Monday, August 11, 2008	Friday, September 3, 1976	AW\pete-male	pete-male@adventureworks.com	768-555-0123	S	Pete Male	768-555-0123	False	M	1	$11	13	26	True	False	Production	
105	44	671089628	441044382	Dan	Bacon	K	False	Application Specialist	Monday, August 11, 2008	Saturday, January 24, 1981	AW\dan-bacon	dan-bacon@adventureworks.com	166-555-0159	M	Dan Bacon	166-555-0159	True	M	2	$27.4038	72	56	True	False	Information Services	
106	143	231203233	184188301	David	Barber	M	False	Assistant to the Chief Financial Officer	Tuesday, August 12, 2008	Monday, January 20, 1964	SQLSERVER2017\LabUser	david-barber@adventureworks.com	477-555-0132	S	David Barber	477-555-0132	False	M	2	$13.4615	56	48	True	False	Finance	
107	76	204035155	778552911	Lolan	Song	B	False	Production Technician - WC50	Tuesday, August 12, 2008	Thursday, August 24, 1972	AW\lolan-song	lolan-song@adventureworks.com	582-555-0178	M	Lolan Song	582-555-0178	False	M	1	$11	7	23	True	False	Production	
108	214	992874797	634335025	Paula	Nartker	R	False	Production Technician - WC40	Tuesday, August 12, 2008	Wednesday, September 10, 1986	AW\paula-nartker	paula-nartker@adventureworks.com	476-555-0119	M	Paula Nartker	476-555-0119	False	F	1	$15	54	47	True	False	Production	
109	7	767955365	24756624	Mary	Gibson	E	False	Marketing Specialist	Tuesday, August 12, 2008	Friday, April 13, 1962	AW\mary-gibson	mary-gibson@adventureworks.com	531-555-0183	M	Mary Gibson	531-555-0183	False	F	2	$14.4231	46	43	True	False	Marketing	
110	40	342607223	630184120	Mindaugas	Krapauskas	J	False	Production Technician - WC50	Wednesday, August 13, 2008	Monday, December 5, 1977	AW\mindaugas-krapauskas	mindaugas-krapauskas@adventureworks.com	637-555-0120	M	Mindaugas Krapauskas	637-555-0120	False	M	1	$11	97	68	True	False	Production	
111	23	45615666	277173473	Eric	Gubbels		False	Production Supervisor - WC20	Thursday, August 14, 2008	Sunday, August 19, 1984	AW\eric-gubbels	eric-gubbels@adventureworks.com	260-555-0119	M	Eric Gubbels	260-555-0119	False	M	2	$25	40	40	True	False	Production	
112		295847284		Ken	Sánchez	J	False	Chief Executive Officer	Thursday, August 14, 2008	Thursday, August 29, 1968	AW\ken-sanchez	ken-sanchez@adventureworks.com	697-555-0142	S	Ken Sánchez	697-555-0142	True	M	2	$125.5	99	69	True	False	Executive	
113	138	733022683	386315192	Jason	Watters	M	False	Production Technician - WC30	Thursday, August 14, 2008	Thursday, July 7, 1988	AW\jason-watters	jason-watters@adventureworks.com	571-555-0179	S	Jason Watters	571-555-0179	False	M	1	$9.5	38	39	True	False	Production	
114	43	381772114	885055826	Mark	Harrington	L	False	Quality Assurance Technician	Friday, August 15, 2008	Thursday, November 28, 1985	AW\mark-harrington	mark-harrington@adventureworks.com	147-555-0179	S	Mark Harrington	147-555-0179	False	M	2	$10.5769	83	61	True	False	Quality Assurance	
115	163	187369436	551834634	Janeth	Esteves	M	False	Production Technician - WC45	Friday, August 15, 2008	Tuesday, February 22, 1972	AW\janeth-esteves	janeth-esteves@adventureworks.com	540-555-0191	S	Janeth Esteves	540-555-0191	False	F	1	$10	81	60	True	False	Production	
116	188	364818297	60114406	Marc	Ingle	J	False	Production Technician - WC30	Saturday, August 16, 2008	Saturday, May 24, 1986	AW\marc-ingle	marc-ingle@adventureworks.com	234-555-0169	M	Marc Ingle	234-555-0169	False	M	1	$9.5	22	31	True	False	Production	
117	162	658797903	134969118	Gigi	Matthew	N	False	Research and Development Engineer	Saturday, August 16, 2008	Monday, August 21, 1978	AW\gigi-matthew	gigi-matthew@adventureworks.com	185-555-0186	M	Gigi Matthew	185-555-0186	True	F	2	$40.8654	63	51	True	False	Research and Development	
118	111	886023130	45615666	Paul	Singh	R	False	Production Technician - WC20	Sunday, August 17, 2008	Monday, June 4, 1990	AW\paul-singh	paul-singh@adventureworks.com	727-555-0112	M	Paul Singh	727-555-0112	False	M	1	$14	6	23	True	False	Production	
119	214	749211824	634335025	Frank	Lee	T	False	Production Technician - WC40	Sunday, August 17, 2008	Monday, April 6, 1987	AW\frank-lee	frank-lee@adventureworks.com	158-555-0191	M	Frank Lee	158-555-0191	False	M	1	$15	56	48	True	False	Production	
120	44	643805155	441044382	François	Ajenstat	P	False	Database Administrator	Sunday, August 17, 2008	Friday, June 13, 1980	AW\francois-ajenstat	francois-ajenstat@adventureworks.com	785-555-0110	S	François Ajenstat	785-555-0110	True	M	2	$38.4615	67	53	True	False	Information Services	
121	16	92096924	233069302	Diane	Tibbott	H	False	Production Technician - WC50	Monday, August 18, 2008	Thursday, March 9, 1989	AW\diane-tibbott	diane-tibbott@adventureworks.com	361-555-0180	S	Diane Tibbott	361-555-0180	False	F	1	$11	8	24	True	False	Production	
122	7	72636981	24756624	Jill	Williams	A	False	Marketing Specialist	Monday, August 18, 2008	Tuesday, January 16, 1979	AW\jill-williams	jill-williams@adventureworks.com	510-555-0121	M	Jill Williams	510-555-0121	False	F	2	$14.4231	47	43	True	False	Marketing	
123	40	563680513	630184120	Angela	Barbariol	W	False	Production Technician - WC50	Wednesday, August 20, 2008	Saturday, December 29, 1990	AW\angela-barbariol	angela-barbariol@adventureworks.com	150-555-0194	S	Angela Barbariol	150-555-0194	False	F	1	$11	92	66	True	False	Production	
124	87	584205124	521265716	Matthias	Berndt	T	False	Shipping and Receiving Clerk	Wednesday, August 20, 2008	Monday, June 11, 1973	AW\matthias-berndt	matthias-berndt@adventureworks.com	139-555-0120	M	Matthias Berndt	139-555-0120	False	M	2	$9.5	94	67	True	False	Shipping and Receiving	
125	9	458159238	309738752	Bryan	Baker		False	Production Technician - WC60	Thursday, August 21, 2008	Tuesday, March 27, 1973	AW\bryan-baker	bryan-baker@adventureworks.com	712-555-0113	S	Bryan Baker	712-555-0113	False	M	1	$12.45	35	37	True	False	Production	
126	23	712885347	277173473	Jeff	Hay	V	False	Production Supervisor - WC45	Thursday, August 21, 2008	Sunday, August 15, 1976	AW\jeff-hay	jeff-hay@adventureworks.com	350-555-0167	M	Jeff Hay	350-555-0167	False	M	2	$25	74	57	True	False	Production	
127	188	87268837	60114406	Eugene	Zabokritski	R	False	Production Technician - WC30	Thursday, August 21, 2008	Thursday, February 12, 1987	AW\eugene-zabokritski	eugene-zabokritski@adventureworks.com	241-555-0191	S	Eugene Zabokritski	241-555-0191	False	M	1	$9.5	33	36	True	False	Production	
128	186	969985265	862951447	Barbara	Decker	S	False	Production Technician - WC20	Friday, August 22, 2008	Sunday, July 29, 1984	AW\barbara-decker	barbara-decker@adventureworks.com	119-555-0192	M	Barbara Decker	119-555-0192	False	F	1	$14	17	28	True	False	Production	
129	126	539490372	712885347	Chris	Preston	T	False	Production Technician - WC45	Friday, August 22, 2008	Saturday, July 16, 1988	AW\chris-preston	chris-preston@adventureworks.com	200-555-0112	M	Chris Preston	200-555-0112	False	M	1	$10	76	58	True	False	Production	
130	92	242381745	345106466	Sean	Chai	N	False	Document Control Assistant	Friday, August 22, 2008	Friday, October 10, 1986	AW\sean-chai	sean-chai@adventureworks.com	205-555-0132	S	Sean Chai	205-555-0132	False	M	2	$10.25	78	59	True	False	Document Control	
131	44	929666391	441044382	Dan	Wilson	B	False	Database Administrator	Friday, August 22, 2008	Wednesday, August 6, 1975	AW\dan-wilson	dan-wilson@adventureworks.com	653-555-0144	M	Dan Wilson	653-555-0144	True	M	2	$38.4615	66	53	True	False	Information Services	
132	18	948320468	446466105	Mark	McArthur	K	False	Production Technician - WC60	Saturday, August 23, 2008	Wednesday, April 25, 1979	AW\mark-mcarthur	mark-mcarthur@adventureworks.com	417-555-0154	S	Mark McArthur	417-555-0154	False	M	1	$12.45	19	29	True	False	Production	
133	142	931190412	30845	Bryan	Walton	A	False	Accounts Receivable Specialist	Sunday, August 24, 2008	Friday, April 20, 1984	AW\bryan-walton	bryan-walton@adventureworks.com	935-555-0199	S	Bryan Walton	935-555-0199	False	M	2	$19	62	51	True	False	Finance	
134	76	153288994	778552911	Houman	Pournasseh	N	False	Production Technician - WC50	Monday, August 25, 2008	Tuesday, March 30, 1971	AW\houman-pournasseh	houman-pournasseh@adventureworks.com	180-555-0136	M	Houman Pournasseh	180-555-0136	False	M	1	$11	3	21	True	False	Production	
135	46	981495526	685233686	Sairaj	Uddin	L	False	Scheduling Assistant	Tuesday, August 26, 2008	Wednesday, July 22, 1987	AW\sairaj-uddin	sairaj-uddin@adventureworks.com	500-555-0159	M	Sairaj Uddin	500-555-0159	False	M	2	$16	46	43	True	False	Production Control	
136	177	363996959	578935259	Michiko	Osada	F	False	Production Technician - WC30	Tuesday, August 26, 2008	Monday, January 25, 1982	AW\michiko-osada	michiko-osada@adventureworks.com	984-555-0148	S	Michiko Osada	984-555-0148	False	M	1	$9.5	44	42	True	False	Production	
137	188	585408256	60114406	Benjamin	Martin	R	False	Production Technician - WC30	Wednesday, August 27, 2008	Monday, August 5, 1985	AW\benjamin-martin	benjamin-martin@adventureworks.com	533-555-0111	S	Benjamin Martin	533-555-0111	False	M	1	$9.5	28	34	True	False	Production	
138	23	386315192	277173473	Cynthia	Randall	S	False	Production Supervisor - WC30	Wednesday, August 27, 2008	Wednesday, March 18, 1981	AW\cynthia-randall	cynthia-randall@adventureworks.com	352-555-0138	S	Cynthia Randall	352-555-0138	False	F	2	$25	69	54	True	False	Production	
139	201	167554340	332349500	Kathie	Flood	E	False	Production Technician - WC45	Wednesday, August 27, 2008	Friday, June 1, 1990	AW\kathie-flood	kathie-flood@adventureworks.com	446-555-0118	M	Kathie Flood	446-555-0118	False	F	1	$10	87	63	True	False	Production	
140	18	410742000	446466105	Britta	Simon	L	False	Production Technician - WC60	Friday, August 29, 2008	Friday, April 28, 1989	AW\britta-simon	britta-simon@adventureworks.com	955-555-0169	M	Britta Simon	955-555-0169	False	F	1	$12.45	14	27	True	False	Production	
141	214	746201340	634335025	Brian	Lloyd	T	False	Production Technician - WC40	Friday, August 29, 2008	Friday, September 10, 1976	AW\brian-lloyd	brian-lloyd@adventureworks.com	110-555-0182	S	Brian Lloyd	110-555-0182	False	M	1	$15	55	47	True	False	Production	
142	143	30845	184188301	David	Liu	J	False	Accounts Manager	Saturday, August 30, 2008	Saturday, February 5, 1983	SQLSERVER2017\LabUser	david-liu@adventureworks.com	646-555-0185	M	David Liu	646-555-0185	True	M	2	$34.7356	57	48	True	False	Finance	
143	112	184188301	295847284	Laura	Norman	F	False	Chief Financial Officer	Sunday, August 31, 2008	Wednesday, August 6, 1975	AW\laura-norman	laura-norman@adventureworks.com	615-555-0110	M	Laura Norman	615-555-0110	True	F	2	$60.0962	0	20	True	False	Executive	
144	112	184188301	295847284	Laura	Norman	F	False	Chief Financial Officer	Sunday, August 31, 2008	Wednesday, August 6, 1975	AW\laura-norman	laura-norman@adventureworks.com	615-555-0110	M	Laura Norman	615-555-0110	True	F	2	$60.0962	0	20	True	False	Executive	
145	40	398737566	630184120	Michael	Patten	W	False	Production Technician - WC50	Sunday, August 31, 2008	Saturday, December 1, 1973	AW\michael-patten	michael-patten@adventureworks.com	441-555-0195	S	Michael Patten	441-555-0195	False	M	1	$11	98	69	True	False	Production	
146	138	764853868	386315192	Andy	Ruth	M	False	Production Technician - WC30	Sunday, August 31, 2008	Friday, May 20, 1983	AW\andy-ruth	andy-ruth@adventureworks.com	118-555-0110	M	Andy Ruth	118-555-0110	False	M	1	$9.5	39	39	True	False	Production	
147	23	319472946	277173473	Yuhong	Li	L	False	Production Supervisor - WC20	Monday, September 1, 2008	Thursday, November 4, 1976	AW\yuhong-li	yuhong-li@adventureworks.com	965-555-0155	M	Yuhong Li	965-555-0155	False	M	2	$25	41	40	True	False	Production	
148	163	456839592	551834634	Robert	Rounthwaite	J	False	Production Technician - WC45	Tuesday, September 2, 2008	Friday, September 28, 1984	AW\robert-rounthwaite	robert-rounthwaite@adventureworks.com	589-555-0147	S	Robert Rounthwaite	589-555-0147	False	M	1	$10	82	61	True	False	Production	
149	43	131471224	885055826	Andreas	Berglund	T	False	Quality Assurance Technician	Tuesday, September 2, 2008	Wednesday, October 26, 1988	AW\andreas-berglund	andreas-berglund@adventureworks.com	181-555-0124	M	Andreas Berglund	181-555-0124	False	M	2	$10.5769	84	62	True	False	Quality Assurance	
150	188	259388196	60114406	Reed	Koch	T	False	Production Technician - WC30	Tuesday, September 2, 2008	Monday, August 8, 1988	AW\reed-koch	reed-koch@adventureworks.com	678-555-0110	M	Reed Koch	678-555-0110	False	M	1	$9.5	23	31	True	False	Production	
151	147	812797414	319472946	Linda	Randall	A	False	Production Technician - WC20	Wednesday, September 3, 2008	Thursday, May 5, 1977	AW\linda-randall	linda-randall@adventureworks.com	696-555-0157	S	Linda Randall	696-555-0157	False	F	1	$14	12	26	True	False	Production	
152	112	519899904	295847284	James	Hamilton	R	False	Vice President of Production	Wednesday, September 3, 2008	Thursday, February 4, 1988	AW\james-hamilton	james-hamilton@adventureworks.com	870-555-0122	S	James Hamilton	870-555-0122	True	M	2	$84.1346	64	52	True	False	Production	
153	44	314747499	441044382	Ramesh	Meyyappan	V	False	Application Specialist	Wednesday, September 3, 2008	Monday, October 12, 1987	AW\ramesh-meyyappan	ramesh-meyyappan@adventureworks.com	182-555-0134	S	Ramesh Meyyappan	182-555-0134	True	M	2	$27.4038	73	56	True	False	Information Services	
154	44	858323870	441044382	Stephanie	Conroy	A	False	Network Manager	Thursday, September 4, 2008	Monday, October 24, 1983	AW\stephanie-conroy	stephanie-conroy@adventureworks.com	594-555-0110	S	Stephanie Conroy	594-555-0110	True	F	2	$39.6635	68	54	True	False	Information Services	
155	111	25011600	45615666	Samantha	Smith	H	False	Production Technician - WC20	Thursday, September 4, 2008	Monday, June 22, 1987	AW\samantha-smith	samantha-smith@adventureworks.com	587-555-0114	M	Samantha Smith	587-555-0114	False	F	1	$14	7	23	True	False	Production	
156	214	436757988	634335025	Tawana	Nusbaum	G	False	Production Technician - WC40	Friday, September 5, 2008	Saturday, June 10, 1989	AW\tawana-nusbaum	tawana-nusbaum@adventureworks.com	368-555-0113	S	Tawana Nusbaum	368-555-0113	False	M	1	$15	50	45	True	False	Production	
157	16	652535724	233069302	Denise	Smith	H	False	Production Technician - WC50	Friday, September 5, 2008	Thursday, February 4, 1988	AW\denise-smith	denise-smith@adventureworks.com	869-555-0119	M	Denise Smith	869-555-0119	False	F	1	$11	9	24	True	False	Production	
158	32	416679555	535145551	Hao	Chen	O	False	Human Resources Administrative Assistant	Saturday, September 6, 2008	Monday, November 15, 1976	AW\hao-chen	hao-chen@adventureworks.com	806-555-0136	S	Hao Chen	806-555-0136	False	M	2	$13.9423	52	46	True	False	Human Resources	
159	126	377784364	712885347	Alex	Nayberg	M	False	Production Technician - WC45	Monday, September 8, 2008	Saturday, November 11, 1989	AW\alex-nayberg	alex-nayberg@adventureworks.com	819-555-0198	M	Alex Nayberg	819-555-0198	False	M	1	$10	77	58	True	False	Production	
160	9	66073987	309738752	Eugene	Kogan	O	False	Production Technician - WC60	Monday, September 8, 2008	Wednesday, September 10, 1975	AW\eugene-kogan	eugene-kogan@adventureworks.com	173-555-0179	S	Eugene Kogan	173-555-0179	False	M	1	$12.45	36	38	True	False	Production	
161	18	999440576	446466105	Brandon	Heidepriem	G	False	Production Technician - WC60	Monday, September 8, 2008	Tuesday, August 10, 1976	AW\brandon-heidepriem	brandon-heidepriem@adventureworks.com	429-555-0137	M	Brandon Heidepriem	429-555-0137	False	M	1	$12.45	22	31	True	False	Production	
162	3	134969118	509647174	Dylan	Miller	A	False	Research and Development Manager	Monday, September 8, 2008	Wednesday, September 24, 1986	AW\dylan-miller	dylan-miller@adventureworks.com	181-555-0156	M	Dylan Miller	181-555-0156	True	M	2	$50.4808	61	50	True	False	Research and Development	
163	23	551834634	277173473	Shane	Kim	S	False	Production Supervisor - WC45	Monday, September 8, 2008	Friday, December 22, 1989	AW\shane-kim	shane-kim@adventureworks.com	810-555-0178	S	Shane Kim	810-555-0178	False	M	2	$25	75	57	True	False	Production	
164	186	305522471	862951447	John	Chen	Y	False	Production Technician - WC20	Tuesday, September 9, 2008	Sunday, November 3, 1985	AW\john-chen	john-chen@adventureworks.com	201-555-0163	M	John Chen	201-555-0163	False	M	1	$14	18	29	True	False	Production	
165	92	260770918	345106466	Karen	Berge	R	False	Document Control Assistant	Tuesday, September 9, 2008	Friday, July 25, 1975	AW\karen-berge	karen-berge@adventureworks.com	746-555-0164	M	Karen Berge	746-555-0164	False	F	2	$10.25	79	59	True	False	Document Control	
166	18	788456780	446466105	Jose	Lugo	R	False	Production Technician - WC60	Wednesday, September 10, 2008	Wednesday, February 29, 1984	AW\jose-lugo	jose-lugo@adventureworks.com	587-555-0115	M	Jose Lugo	587-555-0115	False	M	1	$12.45	20	30	True	False	Production	
167	76	370581729	778552911	Mandar	Samant	H	False	Production Technician - WC50	Wednesday, September 10, 2008	Saturday, October 19, 1985	AW\mandar-samant	mandar-samant@adventureworks.com	140-555-0132	S	Mandar Samant	140-555-0132	False	M	1	$11	0	20	True	False	Production	
168	278	603686790	895209680	Mikael	Sandberg	Q	False	Buyer	Wednesday, September 10, 2008	Saturday, March 17, 1984	AW\mikael-sandberg	mikael-sandberg@adventureworks.com	309-555-0170	S	Mikael Sandberg	309-555-0170	False	M	2	$18.2692	59	49	True	False	Purchasing	
169	76	152085091	778552911	Sameer	Tejani	A	False	Production Technician - WC50	Thursday, September 11, 2008	Tuesday, January 24, 1978	AW\sameer-tejani	sameer-tejani@adventureworks.com	990-555-0172	M	Sameer Tejani	990-555-0172	False	M	1	$11	4	22	True	False	Production	
170	142	663843431	30845	Dragan	Tomic	K	False	Accounts Payable Specialist	Thursday, September 11, 2008	Tuesday, September 14, 1976	AW\dragan-tomic	dragan-tomic@adventureworks.com	117-555-0185	M	Dragan Tomic	117-555-0185	False	M	2	$19	63	51	True	False	Finance	
171	177	227319668	578935259	Carol	Philips	M	False	Production Technician - WC30	Friday, September 12, 2008	Tuesday, May 17, 1988	AW\carol-philips	carol-philips@adventureworks.com	609-555-0153	M	Carol Philips	609-555-0153	False	F	1	$9.5	45	42	True	False	Production	
172	89	578953538	750905084	Rob	Caron	T	False	Production Technician - WC40	Saturday, September 13, 2008	Sunday, March 4, 1973	AW\rob-caron	rob-caron@adventureworks.com	238-555-0116	S	Rob Caron	238-555-0116	False	M	1	$15	71	55	True	False	Production	
173	40	222400012	630184120	Don	Hall	L	False	Production Technician - WC50	Saturday, September 13, 2008	Monday, January 11, 1971	AW\don-hall	don-hall@adventureworks.com	100-555-0174	M	Don Hall	100-555-0174	False	M	1	$11	88	64	True	False	Production	
174	46	470689086	685233686	Alan	Brewer	J	False	Scheduling Assistant	Saturday, September 13, 2008	Friday, October 28, 1983	AW\alan-brewer	alan-brewer@adventureworks.com	438-555-0172	M	Alan Brewer	438-555-0172	False	M	2	$16	47	43	True	False	Production Control	
175	188	860123571	60114406	David	Lawrence	Oliver	False	Production Technician - WC30	Sunday, September 14, 2008	Tuesday, April 23, 1985	SQLSERVER2017\LabUser	david-lawrence@adventureworks.com	118-555-0177	M	David Lawrence	118-555-0177	False	M	1	$9.5	29	34	True	False	Production	
176	89	273260055	750905084	Baris	Cetinok	F	False	Production Technician - WC40	Monday, September 15, 2008	Monday, May 7, 1990	AW\baris-cetinok	baris-cetinok@adventureworks.com	164-555-0114	S	Baris Cetinok	164-555-0114	False	M	1	$15	72	56	True	False	Production	
177	23	578935259	277173473	Michael	Ray	Sean	False	Production Supervisor - WC30	Monday, September 15, 2008	Monday, August 29, 1988	AW\michael-ray	michael-ray@adventureworks.com	156-555-0199	S	Michael Ray	156-555-0199	False	M	2	$25	70	55	True	False	Production	
178	20	752513276	494170342	Steve	Masters	F	False	Production Technician - WC60	Monday, September 15, 2008	Sunday, November 4, 1990	AW\steve-masters	steve-masters@adventureworks.com	712-555-0170	S	Steve Masters	712-555-0170	False	M	1	$12.45	31	35	True	False	Production	
179	18	754372876	446466105	Suchitra	Mohan	O	False	Production Technician - WC60	Tuesday, September 16, 2008	Thursday, January 8, 1987	AW\suchitra-mohan	suchitra-mohan@adventureworks.com	753-555-0129	M	Suchitra Mohan	753-555-0129	False	F	1	$12.45	15	27	True	False	Production	
180	44	58317344	441044382	Karen	Berg	A	False	Application Specialist	Tuesday, September 16, 2008	Saturday, December 17, 1977	AW\karen-berg	karen-berg@adventureworks.com	654-555-0177	S	Karen Berg	654-555-0177	True	F	2	$27.4038	74	57	True	False	Information Services	
181	147	404159499	319472946	Terrence	Earls	W	False	Production Technician - WC20	Tuesday, September 16, 2008	Sunday, July 8, 1984	AW\terrence-earls	terrence-earls@adventureworks.com	110-555-0115	S	Terrence Earls	110-555-0115	False	M	1	$14	13	26	True	False	Production	
182	142	363910111	30845	Barbara	Moreland	C	False	Accountant	Thursday, September 18, 2008	Monday, August 4, 1975	AW\barbara-moreland	barbara-moreland@adventureworks.com	822-555-0145	M	Barbara Moreland	822-555-0145	True	F	2	$26.4423	58	49	True	False	Finance	
183	40	599942664	630184120	Chad	Niswonger	W	False	Production Technician - WC50	Thursday, September 18, 2008	Sunday, March 4, 1990	AW\chad-niswonger	chad-niswonger@adventureworks.com	559-555-0175	M	Chad Niswonger	559-555-0175	False	M	1	$11	99	69	True	False	Production	
184	138	993310268	386315192	Rostislav	Shabalin	E	False	Production Technician - WC30	Friday, September 19, 2008	Wednesday, April 13, 1977	AW\rostislav-shabalin	rostislav-shabalin@adventureworks.com	751-555-0134	M	Rostislav Shabalin	751-555-0134	False	M	1	$9.5	40	40	True	False	Production	
185	201	20244403	332349500	Belinda	Newman	M	False	Production Technician - WC45	Saturday, September 20, 2008	Tuesday, October 15, 1974	AW\belinda-newman	belinda-newman@adventureworks.com	319-555-0126	S	Belinda Newman	319-555-0126	False	F	1	$10	83	61	True	False	Production	
186	23	862951447	277173473	Katie	McAskill-White	L	False	Production Supervisor - WC20	Saturday, September 20, 2008	Monday, June 18, 1984	AW\katie-mcaskill-white	katie-mcaskill-white@adventureworks.com	809-555-0133	S	Katie McAskill-White	809-555-0133	False	F	2	$25	42	41	True	False	Production	
187	188	551346974	60114406	Russell	King	M	False	Production Technician - WC30	Sunday, September 21, 2008	Friday, September 11, 1981	AW\russell-king	russell-king@adventureworks.com	517-555-0122	M	Russell King	517-555-0122	False	M	1	$9.5	24	32	True	False	Production	
188	23	60114406	277173473	Jack	Richins	S	False	Production Supervisor - WC30	Sunday, September 21, 2008	Thursday, January 20, 1983	AW\jack-richins	jack-richins@adventureworks.com	552-555-0111	S	Jack Richins	552-555-0111	False	M	2	$25	68	54	True	False	Production	
189	23	33237992	277173473	Andrew	Hill	R	False	Production Supervisor - WC10	Monday, September 22, 2008	Wednesday, April 6, 1988	AW\andrew-hill	andrew-hill@adventureworks.com	908-555-0159	S	Andrew Hill	908-555-0159	False	M	2	$25	65	52	True	False	Production	
190	89	1300049	750905084	Nicole	Holliday	B	False	Production Technician - WC40	Monday, September 22, 2008	Thursday, November 7, 1985	AW\nicole-holliday	nicole-holliday@adventureworks.com	508-555-0129	M	Nicole Holliday	508-555-0129	False	F	1	$15	67	53	True	False	Production	
191	16	10708100	233069302	Frank	Miller	T	False	Production Technician - WC50	Tuesday, September 23, 2008	Sunday, February 21, 1971	AW\frank-miller	frank-miller@adventureworks.com	167-555-0139	S	Frank Miller	167-555-0139	False	M	1	$11	10	25	True	False	Production	
192	154	672243793	858323870	Peter	Connelly	I	False	Network Administrator	Tuesday, September 23, 2008	Thursday, December 27, 1979	AW\peter-connelly	peter-connelly@adventureworks.com	310-555-0133	S	Peter Connelly	310-555-0133	False	M	2	$32.4519	69	54	True	False	Information Services	
193	111	63761469	45615666	Anibal	Sousa	T	False	Production Technician - WC20	Tuesday, September 23, 2008	Friday, April 5, 1974	AW\anibal-sousa	anibal-sousa@adventureworks.com	106-555-0120	S	Anibal Sousa	106-555-0120	False	F	1	$14	8	24	True	False	Production	
194	214	693168613	634335025	Ken	Myer	L	False	Production Technician - WC40	Wednesday, September 24, 2008	Friday, December 26, 1980	AW\ken-myer	ken-myer@adventureworks.com	949-555-0174	M	Ken Myer	949-555-0174	False	M	1	$15	51	45	True	False	Production	
195	32	476980013	535145551	Grant	Culbertson	N	False	Human Resources Administrative Assistant	Thursday, September 25, 2008	Saturday, November 15, 1975	AW\grant-culbertson	grant-culbertson@adventureworks.com	955-555-0131	S	Grant Culbertson	955-555-0131	False	M	2	$13.9423	53	46	True	False	Human Resources	
196	40	334834274	630184120	Michael	Entin	T	False	Production Technician - WC50	Thursday, September 25, 2008	Friday, January 13, 1989	AW\michael-entin	michael-entin@adventureworks.com	817-555-0186	S	Michael Entin	817-555-0186	False	M	1	$11	94	67	True	False	Production	
197	163	399658727	551834634	Lionel	Penuchot	C	False	Production Technician - WC45	Friday, September 26, 2008	Tuesday, October 13, 1987	AW\lionel-penuchot	lionel-penuchot@adventureworks.com	450-555-0152	S	Lionel Penuchot	450-555-0152	False	M	1	$10	78	59	True	False	Production	
198	9	500412746	309738752	Thomas	Michaels	R	False	Production Technician - WC60	Friday, September 26, 2008	Saturday, August 10, 1985	AW\thomas-michaels	thomas-michaels@adventureworks.com	278-555-0118	M	Thomas Michaels	278-555-0118	False	M	1	$12.45	37	38	True	False	Production	
199	87	652779496	521265716	Jimmy	Bischoff	T	False	Stocker	Friday, September 26, 2008	Friday, June 1, 1990	AW\jimmy-bischoff	jimmy-bischoff@adventureworks.com	927-555-0168	M	Jimmy Bischoff	927-555-0168	False	M	1	$9	96	68	True	False	Shipping and Receiving	
200	138	878395493	386315192	Michael	Vanderhyde	T	False	Production Technician - WC30	Friday, September 26, 2008	Sunday, April 18, 1982	AW\michael-vanderhyde	michael-vanderhyde@adventureworks.com	296-555-0121	M	Michael Vanderhyde	296-555-0121	False	M	1	$9.5	35	37	True	False	Production	
201	23	332349500	277173473	Lori	Kane	A	False	Production Supervisor - WC45	Friday, September 26, 2008	Saturday, February 16, 1980	AW\lori-kane	lori-kane@adventureworks.com	289-555-0196	S	Lori Kane	289-555-0196	False	F	2	$25	76	58	True	False	Production	
202	278	792847334	895209680	Arvind	Rao	B	False	Buyer	Sunday, September 28, 2008	Thursday, March 21, 1974	AW\arvind-rao	arvind-rao@adventureworks.com	848-555-0163	M	Arvind Rao	848-555-0163	False	M	2	$18.2692	60	50	True	False	Purchasing	
